Leitura,Data 
2.471,2018-11-14 11:49:00
2.471,2018-11-14 11:49:05
2.471,2018-11-14 11:49:09
2.461,2018-11-14 11:49:14
2.466,2018-11-14 11:49:19
2.461,2018-11-14 11:49:24
2.461,2018-11-14 11:49:28
2.456,2018-11-14 11:49:33
2.451,2018-11-14 11:49:38
2.441,2018-11-14 11:49:43
2.432,2018-11-14 11:49:47
2.422,2018-11-14 11:49:52
2.432,2018-11-14 11:49:57
2.412,2018-11-14 11:50:01
2.407,2018-11-14 11:50:06
2.383,2018-11-14 11:50:11
2.31,2018-11-14 11:50:16
2.051,2018-11-14 11:50:20
2.114,2018-11-14 11:50:25
2.319,2018-11-14 11:50:30
2.339,2018-11-14 11:50:34
2.339,2018-11-14 11:50:39
2.368,2018-11-14 11:50:44
2.363,2018-11-14 11:50:49
2.339,2018-11-14 11:50:53
2.28,2018-11-14 11:50:58
2.114,2018-11-14 11:51:03
1.851,2018-11-14 11:51:08
1.968,2018-11-14 11:51:12
2.095,2018-11-14 11:51:17
2.173,2018-11-14 11:51:22
2.036,2018-11-14 11:51:26
2.007,2018-11-14 11:51:31
1.826,2018-11-14 11:51:36
1.821,2018-11-14 11:51:41
1.865,2018-11-14 11:51:45
2.241,2018-11-14 11:51:50
2.168,2018-11-14 11:51:55
2.3,2018-11-14 11:51:59
2.31,2018-11-14 11:52:04
2.222,2018-11-14 11:52:09
1.978,2018-11-14 11:52:14
2.109,2018-11-14 11:52:18
2.188,2018-11-14 11:52:23
2.178,2018-11-14 11:52:28
2.134,2018-11-14 11:52:33
1.86,2018-11-14 11:52:37
1.841,2018-11-14 11:52:42
1.821,2018-11-14 11:52:47
1.973,2018-11-14 11:52:51
2.207,2018-11-14 11:52:56
2.256,2018-11-14 11:53:01
2.256,2018-11-14 11:53:06
2.197,2018-11-14 11:53:10
2.314,2018-11-14 11:53:15
2.354,2018-11-14 11:53:20
2.363,2018-11-14 11:53:24
2.354,2018-11-14 11:53:29
2.354,2018-11-14 11:53:34
2.349,2018-11-14 11:53:39
2.349,2018-11-14 11:53:43
2.334,2018-11-14 11:53:48
2.329,2018-11-14 11:53:53
2.314,2018-11-14 11:53:57
2.295,2018-11-14 11:54:02
2.178,2018-11-14 11:54:07
1.821,2018-11-14 11:54:12
1.963,2018-11-14 11:54:16
2.202,2018-11-14 11:54:21
2.061,2018-11-14 11:54:26
2.119,2018-11-14 11:54:31
2.07,2018-11-14 11:54:35
2.075,2018-11-14 11:54:40
2.114,2018-11-14 11:54:45
2.202,2018-11-14 11:54:49
2.231,2018-11-14 11:54:54
2.246,2018-11-14 11:54:59
2.148,2018-11-14 11:55:04
2.139,2018-11-14 11:55:08
2.085,2018-11-14 11:55:13
2.036,2018-11-14 11:55:18
1.924,2018-11-14 11:55:22
2.173,2018-11-14 11:55:27
2.295,2018-11-14 11:55:32
