Leitura,Data
0.693,2018-11-14 11:46:06
0.703,2018-11-14 11:46:10
0.728,2018-11-14 11:46:15
0.835,2018-11-14 11:46:20
0.757,2018-11-14 11:46:24
0.835,2018-11-14 11:46:29
0.908,2018-11-14 11:46:34
0.723,2018-11-14 11:46:39
0.82,2018-11-14 11:46:43
0.908,2018-11-14 11:46:48
0.991,2018-11-14 11:46:53
1.016,2018-11-14 11:46:57
1.016,2018-11-14 11:47:02
1.03,2018-11-14 11:47:08
1.03,2018-11-14 11:47:12
1.04,2018-11-14 11:47:16
1.04,2018-11-14 11:47:21
1.05,2018-11-14 11:47:26
1.05,2018-11-14 11:47:31
1.055,2018-11-14 11:47:35
1.06,2018-11-14 11:47:40
1.06,2018-11-14 11:47:45
1.064,2018-11-14 11:47:49
1.079,2018-11-14 11:47:54
1.074,2018-11-14 11:47:59
1.079,2018-11-14 11:48:04
1.074,2018-11-14 11:48:08
1.074,2018-11-14 11:48:13
1.074,2018-11-14 11:48:18
1.084,2018-11-14 11:48:22
1.079,2018-11-14 11:48:27
1.079,2018-11-14 11:48:32
1.079,2018-11-14 11:48:37
1.079,2018-11-14 11:48:41
1.079,2018-11-14 11:48:46
1.069,2018-11-14 11:48:51
1.074,2018-11-14 11:48:56
1.074,2018-11-14 11:49:00
1.084,2018-11-14 11:49:05
1.074,2018-11-14 11:49:10
1.074,2018-11-14 11:49:14
1.069,2018-11-14 11:49:19
1.064,2018-11-14 11:49:24
1.064,2018-11-14 11:49:29
1.064,2018-11-14 11:49:33
1.06,2018-11-14 11:49:38
1.06,2018-11-14 11:49:43
1.04,2018-11-14 11:49:47
1.05,2018-11-14 11:49:52
1.06,2018-11-14 11:49:57
1.04,2018-11-14 11:50:02
1.03,2018-11-14 11:50:06
1.021,2018-11-14 11:50:11
0.967,2018-11-14 11:50:16
0.815,2018-11-14 11:50:21
0.864,2018-11-14 11:50:25
0.991,2018-11-14 11:50:30
0.996,2018-11-14 11:50:35
0.991,2018-11-14 11:50:39
0.996,2018-11-14 11:50:44
1.001,2018-11-14 11:50:49
1.001,2018-11-14 11:50:54
0.942,2018-11-14 11:50:58
0.845,2018-11-14 11:51:03
0.728,2018-11-14 11:51:08
0.776,2018-11-14 11:51:12
0.835,2018-11-14 11:51:17
0.894,2018-11-14 11:51:22
0.796,2018-11-14 11:51:27
0.786,2018-11-14 11:51:31
0.718,2018-11-14 11:51:36
0.698,2018-11-14 11:51:41
0.728,2018-11-14 11:51:45
0.933,2018-11-14 11:51:50
0.874,2018-11-14 11:51:55
0.962,2018-11-14 11:52:00
0.972,2018-11-14 11:52:04
0.918,2018-11-14 11:52:09
0.791,2018-11-14 11:52:14
0.864,2018-11-14 11:52:19
0.894,2018-11-14 11:52:23
0.908,2018-11-14 11:52:28
0.864,2018-11-14 11:52:33
0.708,2018-11-14 11:52:37
0.723,2018-11-14 11:52:42
0.698,2018-11-14 11:52:47
0.796,2018-11-14 11:52:52
0.913,2018-11-14 11:52:56
0.942,2018-11-14 11:53:01
0.938,2018-11-14 11:53:06
0.908,2018-11-14 11:53:10
0.977,2018-11-14 11:53:15
0.991,2018-11-14 11:53:20
0.981,2018-11-14 11:53:25
0.991,2018-11-14 11:53:29
1.001,2018-11-14 11:53:34
0.996,2018-11-14 11:53:39
0.996,2018-11-14 11:53:44
0.991,2018-11-14 11:53:48
0.986,2018-11-14 11:53:53
0.967,2018-11-14 11:53:58
0.962,2018-11-14 11:54:02
0.889,2018-11-14 11:54:07
0.708,2018-11-14 11:54:12
0.791,2018-11-14 11:54:17
0.903,2018-11-14 11:54:21
0.82,2018-11-14 11:54:26
0.854,2018-11-14 11:54:31
0.815,2018-11-14 11:54:35
0.83,2018-11-14 11:54:40
0.845,2018-11-14 11:54:45
0.918,2018-11-14 11:54:50
0.923,2018-11-14 11:54:54
0.938,2018-11-14 11:54:59
0.859,2018-11-14 11:55:04
0.864,2018-11-14 11:55:09
0.83,2018-11-14 11:55:13
0.801,2018-11-14 11:55:18
0.757,2018-11-14 11:55:23
0.889,2018-11-14 11:55:27
0.952,2018-11-14 11:55:32
0.972,2018-11-14 11:55:37
0.981,2018-11-14 11:55:42
0.981,2018-11-14 11:55:46
0.981,2018-11-14 11:55:51
0.977,2018-11-14 11:55:56
0.972,2018-11-14 11:56:00
0.981,2018-11-14 11:56:05
0.986,2018-11-14 11:56:10
0.991,2018-11-14 11:56:15
1.001,2018-11-14 11:56:19
0.991,2018-11-14 11:56:24
1.001,2018-11-14 11:56:29
1.001,2018-11-14 11:56:34
1.001,2018-11-14 11:56:38
1.006,2018-11-14 11:56:43
